monthly_income,monthly_expenses,monthly_emi,cash_flow_surplus,debt_to_income,average_balance,minimum_balance_ratio,income_stability,expense_volatility,transaction_regularity,negative_cashflow_months,income_trend_3m,utility_payment_consistency,digital_transaction_ratio,savings_rate,failed_payment_count,non_debt_recurring_obligations,existing_debt_amount,credit_history_available,credit_history_length,default_probability_ground_truth,default_risk
86403.64,51989.84,4000.0,30413.8,0.0463,143562.66,0.4963,0.828,0.176,0.896,0,0.4514,0.923,0.875,0.352,0,11606.62,72000.0,0,0,0.0186,0
41153.98,25612.73,1500.0,14041.25,0.0364,68256.67,0.331,0.902,0.113,0.875,0,0.0346,0.909,0.926,0.3412,0,4214.19,18000.0,0,0,0.145,0
47592.37,29764.18,0.0,17828.19,0.0,92391.06,0.4048,0.913,0.122,0.921,0,0.0681,0.913,0.905,0.3746,0,3798.63,0.0,0,0,0.0467,0
101173.27,62131.51,8000.0,31041.76,0.0791,131522.44,0.2874,0.827,0.184,0.915,0,0.4861,0.822,0.795,0.3068,0,8391.98,144000.0,0,0,0.0849,1
42453.99,27345.83,1500.0,13608.16,0.0353,68421.94,0.322,0.878,0.155,0.934,0,-0.1328,0.896,0.862,0.3205,0,3430.4,18000.0,0,0,0.3794,0
33904.22,21598.02,1500.0,10806.2,0.0442,60229.66,0.5349,0.884,0.135,0.906,0,0.1277,0.959,0.922,0.3187,0,3370.39,18000.0,0,0,0.1033,0
66979.09,41121.75,16000.0,9857.35,0.2389,58294.95,0.4423,0.861,0.177,0.878,0,0.404,0.944,0.827,0.1472,0,11624.33,288000.0,0,0,0.5337,1
71650.93,35839.35,0.0,35811.58,0.0,213327.86,0.7191,0.973,0.087,0.967,0,0.0507,0.961,0.801,0.4998,0,7478.36,0.0,1,4,0.0004,0
71726.21,35882.44,0.0,35843.77,0.0,209278.0,0.6546,0.971,0.1,0.978,0,0.0626,0.948,0.769,0.4997,0,5533.92,0.0,0,0,0.0007,0
34540.78,22202.89,2500.0,9837.9,0.0724,53600.47,0.4191,0.881,0.142,0.909,0,0.0019,0.876,0.893,0.2848,1,4122.45,30000.0,0,0,0.5788,0
41176.87,26520.62,2500.0,12156.26,0.0607,66016.95,0.4396,0.887,0.122,0.869,0,-0.0271,0.894,0.844,0.2952,0,3791.94,30000.0,0,0,0.2598,1
120476.22,75486.89,4000.0,40989.33,0.0332,176391.26,0.3583,0.845,0.151,0.916,0,0.4107,0.859,0.875,0.3402,1,7439.24,72000.0,0,0,0.0158,0
35180.83,27280.67,20000.0,-12099.84,0.5685,500.0,0.0142,0.934,0.098,0.652,24,-0.1236,0.684,0.648,0.0,2,6180.01,480000.0,1,13,1.0,1
72802.16,36342.91,0.0,36459.24,0.0,206764.3,0.5409,0.972,0.108,0.957,0,0.0385,0.945,0.89,0.5008,0,6950.67,0.0,1,11,0.001,0
34796.18,22170.68,0.0,12625.51,0.0,65146.06,0.4534,0.892,0.145,0.92,0,0.0535,0.906,0.865,0.3628,0,4207.59,0.0,0,0,0.1409,0
67182.42,33546.84,3000.0,30635.58,0.0447,183714.87,0.6699,0.969,0.087,0.927,0,0.0571,0.932,0.844,0.456,0,7822.34,45000.0,0,0,0.0018,0
84901.39,53493.01,4000.0,27408.38,0.0471,122574.03,0.3581,0.863,0.138,0.895,0,0.4102,0.957,0.793,0.3228,0,7167.74,72000.0,1,19,0.0235,0
80703.73,41178.09,0.0,39525.65,0.0,237123.34,0.7484,0.972,0.099,0.906,0,0.0472,0.962,0.801,0.4898,0,5437.06,0.0,0,0,0.0004,0
73712.13,35941.88,0.0,37770.25,0.0,213076.71,0.5629,0.978,0.094,0.959,0,0.0337,0.928,0.811,0.5124,0,6611.49,0.0,0,0,0.0008,0
110835.7,69680.0,12000.0,29155.71,0.1083,125584.93,0.2596,0.854,0.151,0.904,0,0.3973,0.92,0.756,0.2631,0,11351.23,216000.0,1,9,0.0681,0
44093.71,21694.94,0.0,22398.77,0.0,152410.14,1.1699,0.972,0.094,0.905,0,0.0515,0.995,0.883,0.508,0,6516.38,0.0,1,8,0.0006,0
31238.23,23656.44,12000.0,-4418.21,0.3841,563.05,0.016,0.923,0.102,0.714,24,-0.0913,0.668,0.565,0.0,4,4676.14,288000.0,0,0,1.0,1
67897.18,34745.72,0.0,33151.46,0.0,209300.24,0.8275,0.973,0.09,0.929,0,0.0323,0.939,0.783,0.4883,0,8170.38,0.0,1,2,0.0006,0
57444.48,28881.53,0.0,28562.95,0.0,168167.01,0.6821,0.973,0.088,0.918,0,0.0528,0.944,0.789,0.4972,0,5144.08,0.0,0,0,0.0019,0
120522.9,76726.28,8000.0,35796.62,0.0664,164992.38,0.3359,0.853,0.156,0.943,0,0.3692,0.873,0.749,0.297,0,7817.59,144000.0,1,18,0.0206,0
75550.06,38340.32,6000.0,31209.74,0.0794,175024.02,0.4732,0.973,0.08,0.976,0,0.0386,0.974,0.857,0.4131,0,5045.67,90000.0,0,0,0.0027,0
60700.68,29521.34,0.0,31179.34,0.0,186963.85,0.7291,0.973,0.099,0.954,0,0.0492,0.921,0.849,0.5137,0,6728.08,0.0,0,0,0.0011,0
68866.37,33905.56,0.0,34960.82,0.0,218817.73,0.823,0.972,0.103,0.947,0,0.0565,0.942,0.813,0.5077,0,8359.21,0.0,1,9,0.0005,0
138860.25,84548.59,12000.0,42311.66,0.0864,182655.73,0.2295,0.86,0.19,0.845,0,0.2412,0.915,0.871,0.3047,0,8565.61,216000.0,1,18,0.0326,1
56184.77,27142.91,0.0,29041.87,0.0,180605.85,0.8435,0.97,0.108,0.916,0,0.062,0.954,0.753,0.5169,0,7694.58,0.0,1,1,0.0014,0
90719.27,45004.7,0.0,45714.57,0.0,262284.13,0.6217,0.976,0.102,0.944,0,0.0376,0.981,0.849,0.5039,0,5039.92,0.0,1,10,0.0002,0
113996.06,70242.62,4000.0,39753.45,0.0351,171164.2,0.3183,0.852,0.175,0.831,0,0.3364,0.872,0.798,0.3487,0,10026.94,72000.0,0,0,0.024,1
40845.12,26661.25,1500.0,12683.88,0.0367,64413.07,0.3099,0.886,0.136,0.93,0,-0.091,0.919,0.85,0.3105,0,3646.05,18000.0,0,0,0.3015,1
19248.26,14782.15,16000.0,-11533.89,0.8312,670.7,0.026,0.929,0.113,0.599,24,-0.143,0.75,0.549,0.0,3,6413.24,384000.0,1,14,1.0,1
93405.4,56443.82,8000.0,28961.59,0.0856,137758.92,0.4466,0.826,0.204,0.883,0,0.3604,0.884,0.775,0.3101,0,11084.33,144000.0,1,4,0.1014,0
75841.63,37802.95,3000.0,35038.69,0.0396,205825.82,0.6134,0.976,0.08,0.907,0,0.0478,0.988,0.885,0.462,0,7297.15,45000.0,0,0,0.0008,0
74228.05,44454.39,4000.0,25773.65,0.0539,124664.17,0.4994,0.846,0.169,0.899,0,0.2429,0.844,0.788,0.3472,0,7579.48,72000.0,1,11,0.0791,0
75572.27,46906.58,12000.0,16665.69,0.1588,84081.54,0.3253,0.863,0.183,0.878,0,0.1479,0.855,0.805,0.2205,0,7421.6,216000.0,1,18,0.5838,1
107261.96,67382.13,12000.0,27879.84,0.1119,132023.42,0.3698,0.853,0.158,0.897,0,0.2934,0.825,0.839,0.2599,0,6333.63,216000.0,0,0,0.0959,0
39191.72,25166.69,1500.0,12525.02,0.0383,66959.25,0.3533,0.894,0.133,0.81,0,-0.1351,0.865,0.906,0.3196,0,3592.72,18000.0,0,0,0.4118,1
26258.46,20279.41,12000.0,-6020.95,0.457,598.32,0.019,0.923,0.09,0.621,24,-0.2024,0.605,0.51,0.0,2,5209.62,288000.0,0,0,1.0,1
40015.36,24686.61,3500.0,11828.75,0.0875,70258.33,0.5126,0.875,0.133,0.802,0,-0.192,0.89,0.826,0.2956,0,3790.31,42000.0,0,0,0.4866,1
69686.9,34046.46,0.0,35640.45,0.0,208407.71,0.6836,0.971,0.09,0.954,0,0.0627,0.974,0.89,0.5114,0,7837.76,0.0,0,0,0.0004,0
38251.64,24954.97,0.0,13296.67,0.0,72830.57,0.5018,0.886,0.124,0.832,0,-0.0914,0.88,0.908,0.3476,0,4342.54,0.0,0,0,0.1701,0
94090.23,58630.71,4000.0,31459.52,0.0425,149586.39,0.4365,0.856,0.164,0.892,0,0.2178,0.839,0.737,0.3344,0,10404.91,72000.0,1,22,0.0499,0
53449.19,26431.01,0.0,27018.18,0.0,159907.79,0.7278,0.969,0.091,0.923,0,0.0592,0.969,0.894,0.5055,0,7915.76,0.0,0,0,0.0015,0
53046.63,33992.32,0.0,19054.31,0.0,94926.7,0.3385,0.898,0.124,0.85,0,0.0272,0.865,0.944,0.3592,0,3114.05,0.0,0,0,0.0943,0
57603.03,29334.83,3000.0,25268.2,0.0521,158866.49,0.7718,0.974,0.101,0.978,0,0.0378,0.978,0.757,0.4387,0,6768.13,45000.0,0,0,0.0028,0
74099.02,35911.61,0.0,38187.42,0.0,226068.41,0.7475,0.973,0.084,0.932,0,0.0261,0.959,0.815,0.5154,0,8238.7,0.0,1,2,0.0003,0
66864.62,32923.33,0.0,33941.29,0.0,191584.54,0.5652,0.972,0.099,0.944,0,0.0516,0.994,0.762,0.5076,0,7295.46,0.0,0,0,0.0013,0
41489.47,26609.2,0.0,14880.27,0.0,80123.16,0.4488,0.894,0.128,0.879,0,0.0192,0.946,0.905,0.3587,0,3798.67,0.0,0,0,0.0824,0
61159.07,30161.32,0.0,30997.75,0.0,182179.6,0.6479,0.976,0.096,0.954,0,0.0394,0.995,0.753,0.5068,0,6676.4,0.0,0,0,0.0013,0
46869.37,36498.53,16000.0,-5629.17,0.3414,795.75,0.0107,0.911,0.103,0.592,24,-0.1289,0.618,0.585,0.0,4,6795.22,384000.0,0,0,1.0,1
47495.07,24524.34,0.0,22970.73,0.0,139532.34,0.7457,0.972,0.07,0.966,0,0.0388,0.928,0.893,0.4836,0,6267.77,0.0,0,0,0.0018,0
111610.89,67860.95,4000.0,39749.94,0.0358,174981.37,0.4047,0.827,0.163,0.874,0,0.2549,0.82,0.885,0.3561,0,8446.67,72000.0,1,18,0.0192,0
36965.74,22842.84,0.0,14122.9,0.0,69791.19,0.3936,0.875,0.156,0.826,0,-0.0035,0.888,0.878,0.3821,0,4448.06,0.0,0,0,0.2882,0
40009.62,19767.94,6000.0,14241.68,0.15,98918.77,0.8246,0.978,0.107,0.976,0,0.0412,0.923,0.78,0.356,0,5240.91,90000.0,0,0,0.0268,0
29229.28,22290.65,16000.0,-9061.36,0.5474,528.92,0.0171,0.9,0.123,0.571,24,-0.2354,0.522,0.621,0.0,4,4326.05,384000.0,0,0,1.0,1
41294.07,26557.53,1500.0,13236.54,0.0363,72065.48,0.48,0.904,0.093,0.829,0,0.0816,0.947,0.888,0.3205,0,4069.12,18000.0,0,0,0.0731,0
48481.83,30502.07,2500.0,15479.76,0.0516,82847.62,0.432,0.904,0.11,0.845,0,-0.0563,0.962,0.913,0.3193,0,4914.27,30000.0,0,0,0.1052,0
66153.16,33446.1,0.0,32707.05,0.0,194747.38,0.6606,0.978,0.084,0.919,0,0.0513,0.954,0.763,0.4944,0,7904.34,0.0,0,0,0.0011,0
107198.0,64629.68,4000.0,38568.32,0.0373,169070.87,0.3357,0.865,0.188,0.945,0,0.2652,0.904,0.734,0.3598,0,9029.47,72000.0,1,22,0.022,0
68276.52,34637.04,0.0,33639.48,0.0,209166.34,0.7619,0.972,0.113,0.916,0,0.0563,0.979,0.761,0.4927,0,8519.35,0.0,0,0,0.0009,0
32046.64,20555.81,3500.0,7990.83,0.1092,44424.74,0.3957,0.903,0.108,0.935,0,0.049,0.861,0.941,0.2493,0,4285.55,42000.0,0,0,0.2896,0
66393.97,33544.03,6000.0,26849.94,0.0904,166187.41,0.6609,0.975,0.098,0.972,0,0.0559,0.969,0.908,0.4044,0,5815.98,90000.0,1,7,0.0028,0
56524.47,27890.88,6000.0,22633.59,0.1061,144211.79,0.7074,0.972,0.102,0.93,0,0.0508,0.934,0.815,0.4004,0,5571.26,90000.0,0,0,0.0092,0
64553.2,32103.96,3000.0,29449.24,0.0465,184811.85,0.8288,0.971,0.077,0.979,0,0.0544,0.975,0.872,0.4562,0,6368.28,45000.0,0,0,0.0006,0
47345.94,29494.45,0.0,17851.49,0.0,94461.77,0.442,0.901,0.135,0.902,0,-0.1274,0.978,0.852,0.377,0,4192.29,0.0,0,0,0.0807,0
106668.57,65067.29,12000.0,29601.29,0.1125,126250.99,0.2603,0.82,0.209,0.904,0,0.3094,0.936,0.833,0.2775,0,9409.61,216000.0,0,0,0.1742,0
40379.69,25965.81,0.0,14413.87,0.0,71965.99,0.3279,0.887,0.129,0.893,0,-0.1476,0.885,0.864,0.357,0,3271.32,0.0,0,0,0.2563,0
35347.44,22259.12,2500.0,10588.32,0.0707,59396.39,0.4684,0.893,0.133,0.895,0,-0.035,0.975,0.908,0.2995,0,4781.66,30000.0,0,0,0.2012,1
40055.14,25041.57,2500.0,12513.57,0.0624,63470.67,0.312,0.895,0.095,0.863,0,0.0437,0.938,0.862,0.3124,1,4157.51,30000.0,0,0,0.341,0
35500.18,22920.98,0.0,12579.2,0.0,64300.4,0.4207,0.885,0.134,0.889,0,0.0359,0.883,0.921,0.3543,0,3845.89,0.0,0,0,0.1596,0
36672.41,23355.16,1500.0,11817.25,0.0409,63107.47,0.4468,0.88,0.123,0.889,0,-0.0405,0.897,0.895,0.3222,0,3292.19,18000.0,0,0,0.2171,0
39446.85,30210.38,16000.0,-6763.53,0.4056,661.69,0.0127,0.913,0.101,0.66,24,-0.2188,0.667,0.729,0.0,2,5786.24,384000.0,1,19,1.0,1
86644.68,54095.62,8000.0,24549.06,0.0923,118562.89,0.4151,0.826,0.158,0.823,0,0.1948,0.955,0.781,0.2833,0,7153.89,144000.0,0,0,0.1409,0
44938.98,28418.96,0.0,16520.02,0.0,82023.52,0.3629,0.88,0.122,0.824,0,-0.0011,0.93,0.842,0.3676,0,4580.17,0.0,0,0,0.1468,0
33781.17,26263.33,8000.0,-482.16,0.2368,3219.33,0.0521,0.92,0.097,0.663,17,-0.1541,0.736,0.601,0.0,3,5880.5,192000.0,0,0,0.9999,1
46911.48,23505.28,0.0,23406.2,0.0,158457.91,1.0803,0.975,0.103,0.953,0,0.0633,0.941,0.864,0.4989,1,6336.18,0.0,0,0,0.0019,0
40913.11,24878.93,3500.0,12534.18,0.0855,61179.48,0.3073,0.883,0.148,0.917,0,0.0488,0.919,0.899,0.3064,0,4604.55,42000.0,0,0,0.3366,1
34765.69,21721.38,0.0,13044.31,0.0,69931.3,0.5501,0.884,0.128,0.928,0,-0.0077,0.873,0.873,0.3752,0,3232.66,0.0,0,0,0.1074,0
67807.16,42559.24,12000.0,13247.92,0.177,75650.96,0.4653,0.836,0.187,0.876,0,0.3307,0.883,0.746,0.1954,1,11200.93,216000.0,0,0,0.7385,1
35797.82,27132.68,12000.0,-3334.87,0.3352,1379.16,0.014,0.913,0.103,0.613,24,-0.2065,0.675,0.677,0.0,4,4249.77,288000.0,0,0,1.0,1
60957.93,30549.05,3000.0,27408.89,0.0492,160953.78,0.5984,0.973,0.09,0.97,0,0.0496,0.991,0.806,0.4496,0,8683.08,45000.0,0,0,0.0028,0
77363.01,38239.75,0.0,39123.26,0.0,224632.52,0.5935,0.973,0.086,0.965,0,0.0378,0.963,0.762,0.5057,0,6699.18,0.0,1,10,0.0005,0
82562.34,49674.41,8000.0,24887.92,0.0969,123366.11,0.4447,0.833,0.172,0.923,0,0.3533,0.829,0.9,0.3014,0,11813.67,144000.0,0,0,0.0872,0
111823.91,68632.5,16000.0,27191.41,0.1431,125497.4,0.3143,0.844,0.208,0.942,0,0.3702,0.832,0.84,0.2432,0,11557.16,288000.0,0,0,0.2064,0
60632.48,30061.44,0.0,30571.03,0.0,176801.03,0.6355,0.973,0.082,0.907,0,0.0587,0.981,0.885,0.5042,0,8162.05,0.0,0,0,0.0011,0
25786.81,19512.47,20000.0,-13725.66,0.7756,648.1,0.0194,0.906,0.085,0.632,24,-0.1777,0.597,0.643,0.0,3,6057.14,480000.0,1,17,1.0,1
28166.14,17930.28,2500.0,7735.86,0.0888,45314.05,0.5069,0.88,0.134,0.863,0,-0.077,0.924,0.96,0.2747,0,4859.84,30000.0,0,0,0.3696,0
32773.25,21233.17,0.0,11540.08,0.0,58781.91,0.4021,0.902,0.156,0.911,0,-0.0846,0.867,0.853,0.3521,0,4585.68,0.0,0,0,0.3128,0
26514.66,20507.25,16000.0,-9992.59,0.6034,662.88,0.0189,0.902,0.127,0.77,24,-0.2624,0.542,0.655,0.0,2,5446.68,384000.0,0,0,1.0,1
20599.72,15649.87,16000.0,-11050.15,0.7767,518.27,0.0243,0.913,0.113,0.711,24,-0.2132,0.603,0.523,0.0,2,4796.76,384000.0,0,0,1.0,1
36181.98,23565.59,1500.0,11116.39,0.0415,64074.61,0.5587,0.892,0.118,0.842,0,-0.0633,0.911,0.842,0.3072,0,3634.52,18000.0,0,0,0.1945,0
37215.68,23436.94,1500.0,12278.75,0.0403,70788.13,0.5577,0.889,0.119,0.854,0,-0.0623,0.853,0.849,0.3299,0,4334.07,18000.0,0,0,0.2057,0
63747.48,31587.28,3000.0,29160.2,0.0471,184251.59,0.8448,0.972,0.087,0.916,0,0.0595,0.969,0.794,0.4574,0,8719.48,45000.0,0,0,0.0012,0
42836.5,26962.17,2500.0,13374.32,0.0584,70084.65,0.3801,0.911,0.104,0.902,0,-0.0764,0.932,0.918,0.3122,0,4836.57,30000.0,0,0,0.1387,0
81787.98,51036.12,12000.0,18751.87,0.1467,83978.22,0.2998,0.859,0.155,0.894,0,0.2812,0.951,0.884,0.2293,0,8749.52,216000.0,1,8,0.215,0
41321.53,26278.05,2500.0,12543.48,0.0605,69343.02,0.5185,0.893,0.142,0.842,0,0.0521,0.949,0.905,0.3036,0,3220.04,30000.0,0,0,0.1645,0
61367.18,31474.01,0.0,29893.17,0.0,175399.75,0.6186,0.974,0.088,0.975,0,0.0349,0.948,0.79,0.4871,0,7490.2,0.0,0,0,0.0016,0
41643.39,26242.4,0.0,15400.99,0.0,83249.78,0.4985,0.895,0.117,0.803,0,0.0646,0.92,0.859,0.3698,0,4387.73,0.0,0,0,0.0846,0
50806.69,30793.31,2500.0,17513.38,0.0492,86402.96,0.3058,0.906,0.111,0.836,0,0.0106,0.865,0.895,0.3447,0,4372.05,30000.0,0,0,0.1665,0
73738.65,36872.14,6000.0,30866.51,0.0814,191197.25,0.7547,0.97,0.073,0.976,0,0.0585,0.946,0.853,0.4186,0,7431.05,90000.0,1,11,0.001,0
19430.96,14897.87,8000.0,-3466.91,0.4117,567.87,0.0257,0.924,0.09,0.716,24,-0.1196,0.752,0.73,0.0,2,5828.4,192000.0,0,0,1.0,1
87408.14,54341.12,4000.0,29067.02,0.0458,131241.26,0.4039,0.835,0.206,0.84,0,0.4009,0.892,0.837,0.3325,0,10477.88,72000.0,1,12,0.0793,0
27302.41,20868.77,12000.0,-5566.36,0.4395,816.57,0.0183,0.934,0.09,0.766,24,-0.1679,0.68,0.621,0.0,2,5809.67,288000.0,0,0,1.0,1
73183.46,44266.72,12000.0,16916.73,0.164,84647.5,0.3974,0.855,0.158,0.83,0,0.2541,0.843,0.852,0.2312,0,6434.14,216000.0,0,0,0.4167,0
78931.86,39112.94,0.0,39818.92,0.0,230620.71,0.6525,0.971,0.086,0.975,0,0.0658,0.939,0.795,0.5045,0,7966.55,0.0,0,0,0.0004,0
42695.27,26695.62,0.0,15999.66,0.0,80721.47,0.3618,0.905,0.147,0.828,0,-0.0075,0.876,0.821,0.3747,0,3446.18,0.0,0,0,0.2284,0
71139.34,34826.7,6000.0,30312.64,0.0843,178023.32,0.6093,0.97,0.093,0.92,0,0.0581,0.93,0.769,0.4261,0,5774.87,90000.0,0,0,0.0043,0
55301.63,26939.94,6000.0,22361.69,0.1085,137119.87,0.6117,0.974,0.103,0.941,0,0.0378,0.994,0.879,0.4044,0,6042.67,90000.0,0,0,0.0089,0
102544.91,64633.7,4000.0,33911.21,0.039,143908.73,0.2973,0.836,0.171,0.903,0,0.3138,0.835,0.863,0.3307,0,10129.76,72000.0,0,0,0.0459,0
36758.89,22623.28,3500.0,10635.61,0.0952,63945.99,0.4896,0.895,0.12,0.921,0,0.0634,0.926,0.957,0.2893,0,3536.55,42000.0,0,0,0.1433,0
77156.52,38229.34,0.0,38927.17,0.0,233373.93,0.7478,0.973,0.092,0.924,0,0.051,0.946,0.793,0.5045,0,5764.21,0.0,0,0,0.0004,0
75488.0,45697.71,8000.0,21790.29,0.106,110596.34,0.4564,0.862,0.159,0.828,0,0.2691,0.842,0.751,0.2887,0,8413.77,144000.0,1,3,0.1961,0
72049.47,35559.86,3000.0,33489.6,0.0416,198719.69,0.6415,0.971,0.098,0.901,0,0.0466,0.949,0.854,0.4648,0,7251.32,45000.0,0,0,0.0016,0
40857.85,25894.31,1500.0,13463.54,0.0367,74166.23,0.4823,0.88,0.144,0.818,0,-0.1491,0.962,0.885,0.3295,0,3844.89,18000.0,0,0,0.2598,0
148420.01,89953.68,12000.0,46466.33,0.0809,197641.2,0.2842,0.866,0.145,0.906,0,0.2015,0.856,0.808,0.3131,0,8590.83,216000.0,1,9,0.0109,0
67962.7,33344.83,6000.0,28617.88,0.0883,164998.17,0.5438,0.975,0.098,0.952,0,0.0379,0.934,0.867,0.4211,0,7862.65,90000.0,0,0,0.0052,0
24579.41,18996.23,16000.0,-10416.82,0.651,500.0,0.0203,0.929,0.105,0.623,24,-0.0631,0.6,0.57,0.0,2,6020.55,384000.0,1,10,1.0,1
85711.6,53299.69,12000.0,20411.91,0.14,93638.52,0.3258,0.847,0.141,0.937,0,0.346,0.943,0.807,0.2381,0,10275.61,216000.0,0,0,0.131,1
34204.52,25803.32,12000.0,-3598.8,0.3508,1615.16,0.0146,0.931,0.065,0.553,23,-0.1329,0.779,0.545,0.0,1,4823.24,288000.0,1,31,0.9999,1
28377.52,17632.68,0.0,10744.85,0.0,62334.81,0.6829,0.899,0.089,0.875,0,-0.0397,0.851,0.933,0.3786,0,4373.51,0.0,0,0,0.0627,0
42617.05,27066.81,0.0,15550.24,0.0,81886.79,0.4436,0.898,0.138,0.854,0,-0.0245,0.901,0.831,0.3649,1,4170.97,0.0,0,0,0.2927,0
47831.82,29716.79,1500.0,16615.03,0.0314,83418.58,0.3567,0.885,0.121,0.82,0,0.095,0.907,0.876,0.3474,0,3107.87,18000.0,0,0,0.1413,0
48179.97,30469.71,0.0,17710.26,0.0,89024.66,0.405,0.893,0.115,0.861,0,-0.0877,0.97,0.886,0.3676,0,3953.24,0.0,0,0,0.0777,0
37176.69,23587.86,0.0,13588.82,0.0,70021.27,0.366,0.885,0.129,0.889,0,-0.0224,0.922,0.958,0.3655,0,3128.98,0.0,0,0,0.1399,0
