monthly_income,monthly_expenses,monthly_emi,cash_flow_surplus,debt_to_income,average_balance,income_stability,expense_volatility,transaction_regularity,savings_rate,failed_payment_count,recurring_obligation_amount,existing_debt_amount,credit_history_available,credit_history_length,default_probability_ground_truth,default_risk
117243.91,61440.71,6000.0,49803.2,0.0512,22908.8,0.651,0.199,0.855,0.476,0,12259.2,108000.0,0,0,0.0108,0
52415.57,23348.72,0.0,29066.85,0.0,16769.1,0.948,0.117,0.942,0.5545,0,6898.93,0.0,1,6,0.01,0
41156.41,21238.13,2500.0,17418.29,0.0607,13546.01,0.949,0.126,0.961,0.484,0,9777.62,37500.0,0,0,0.0609,0
35978.51,26458.85,0.0,9519.67,0.0,13568.34,0.887,0.153,0.767,0.2646,0,3770.33,0.0,0,0,0.2225,1
45767.21,30107.14,1500.0,14160.06,0.0328,9530.21,0.822,0.207,0.796,0.3422,0,3365.66,18000.0,0,0,0.3441,0
30246.4,19812.38,3000.0,7434.02,0.0992,14204.15,0.721,0.185,0.794,0.345,1,4450.64,36000.0,0,0,0.8286,1
70525.92,44193.68,15000.0,11332.24,0.2127,25509.51,0.77,0.273,0.933,0.3734,0,7908.4,270000.0,1,11,0.5296,1
78116.92,42759.18,10000.0,25357.74,0.128,31011.01,0.705,0.273,0.864,0.4526,0,6859.82,180000.0,1,12,0.1365,0
69865.44,40002.12,0.0,29863.33,0.0,22650.9,0.908,0.052,0.944,0.4274,0,7733.49,0.0,0,0,0.0045,0
60675.77,36257.24,0.0,24418.53,0.0,55797.09,0.956,0.09,0.923,0.4024,0,8462.18,0.0,1,2,0.0008,0
42551.86,25736.74,0.0,16815.13,0.0,18513.59,0.717,0.234,0.783,0.3952,0,3679.97,0.0,0,0,0.2166,0
62511.25,25849.81,5000.0,31661.44,0.08,22300.27,0.919,0.104,0.968,0.5865,0,7664.79,75000.0,0,0,0.0102,0
43559.98,30323.42,1500.0,11736.57,0.0344,19786.17,0.712,0.184,0.913,0.3039,0,5070.01,18000.0,0,0,0.1765,0
30680.33,19637.69,3000.0,8042.64,0.0978,12325.11,0.77,0.2,0.885,0.3599,1,3703.93,36000.0,0,0,0.7547,1
63094.95,35863.59,2500.0,24731.36,0.0396,37800.78,0.95,0.059,0.956,0.4316,0,9130.34,37500.0,0,0,0.003,0
65350.26,33820.63,15000.0,16529.64,0.2295,14350.14,0.761,0.196,0.86,0.4825,0,11405.35,270000.0,0,0,0.626,0
34513.06,30036.2,6000.0,-1523.14,0.1738,2997.67,0.686,0.279,0.704,0.1297,1,7511.9,144000.0,1,30,0.9941,1
72321.92,41989.82,3000.0,27332.1,0.0415,23109.16,0.789,0.202,0.946,0.4194,0,13402.33,54000.0,0,0,0.0309,0
31749.73,26074.48,14000.0,-8324.75,0.4409,4226.65,0.535,0.376,0.6,0.1787,1,5470.14,336000.0,0,0,1.0,1
42062.06,26772.48,1500.0,13789.58,0.0357,12215.95,0.801,0.166,0.768,0.3635,0,3648.11,18000.0,0,0,0.3021,0
47502.24,19583.75,2500.0,25418.5,0.0526,34171.9,0.937,0.056,0.979,0.5877,0,8475.18,37500.0,1,3,0.0038,0
35062.21,19992.79,1500.0,13569.42,0.0428,9172.97,0.712,0.176,0.919,0.4298,0,4845.66,18000.0,0,0,0.2823,0
41996.22,26676.7,0.0,15319.52,0.0,21154.73,0.877,0.167,0.783,0.3648,0,4242.39,0.0,0,0,0.0915,0
106966.09,53719.04,6000.0,47247.05,0.0561,31097.59,0.746,0.153,0.839,0.4978,0,7233.99,108000.0,0,0,0.0047,0
37877.52,21663.94,1500.0,14713.58,0.0396,14317.17,0.791,0.227,0.767,0.4281,0,3450.15,18000.0,0,0,0.3539,0
36616.43,22891.77,1500.0,12224.66,0.041,18846.83,0.792,0.218,0.902,0.3748,1,5360.71,18000.0,0,0,0.4175,1
33155.08,19924.02,3000.0,10231.06,0.0905,19304.04,0.708,0.235,0.828,0.3991,0,4978.06,36000.0,0,0,0.4895,0
45017.41,32112.29,10000.0,2905.12,0.2221,5342.27,0.53,0.434,0.628,0.2867,2,4166.69,240000.0,0,0,0.9997,1
64937.68,36320.11,6000.0,22617.57,0.0924,35390.49,0.805,0.249,0.828,0.4407,0,6885.56,108000.0,1,19,0.0717,0
42857.05,26845.14,0.0,16011.91,0.0,17244.64,0.724,0.192,0.882,0.3736,0,4590.91,0.0,0,0,0.1284,0
49644.95,34732.33,3000.0,11912.62,0.0604,19197.09,0.831,0.119,0.808,0.3004,1,3673.85,36000.0,0,0,0.3921,1
35934.05,18778.7,5000.0,12155.35,0.1391,10521.16,0.919,0.062,0.9,0.4774,0,8229.05,75000.0,0,0,0.2182,0
80821.96,52615.77,6000.0,22206.19,0.0742,27260.64,0.818,0.259,0.916,0.349,0,7596.86,108000.0,0,0,0.0739,0
31056.28,26248.65,14000.0,-9192.36,0.4508,2871.16,0.543,0.376,0.71,0.1548,3,6168.95,336000.0,1,21,1.0,1
52491.0,38038.37,1500.0,12952.63,0.0286,14494.2,0.852,0.124,0.828,0.2753,0,3740.04,18000.0,0,0,0.1495,0
117199.56,63382.36,6000.0,47817.2,0.0512,21617.5,0.797,0.242,0.828,0.4592,0,13054.13,108000.0,0,0,0.0134,0
31720.81,23524.62,1500.0,6696.19,0.0473,14593.12,0.765,0.122,0.802,0.2584,0,5989.0,18000.0,0,0,0.3573,0
87904.46,50741.9,2500.0,34662.56,0.0284,26003.64,0.931,0.091,0.95,0.4228,0,8097.95,37500.0,0,0,0.0035,0
89527.91,53376.06,10000.0,26151.86,0.1117,18313.9,0.663,0.237,0.884,0.4038,0,11431.39,180000.0,1,19,0.2059,0
37943.66,21453.79,0.0,16489.87,0.0,17249.63,0.767,0.218,0.87,0.4346,0,4551.81,0.0,0,0,0.1338,1
55523.06,27028.84,0.0,28494.22,0.0,21139.58,0.918,0.11,0.954,0.5132,1,9665.57,0.0,0,0,0.0225,0
80315.51,34027.05,0.0,46288.46,0.0,35820.98,0.967,0.088,0.937,0.5763,0,5922.38,0.0,0,0,0.0004,0
33777.79,22077.69,0.0,11700.09,0.0,15085.76,0.888,0.139,0.823,0.3464,0,5525.8,0.0,0,0,0.1257,0
36463.11,23576.82,0.0,12886.29,0.0,17562.0,0.716,0.209,0.834,0.3534,0,5188.52,0.0,0,0,0.219,0
93869.46,49475.85,10000.0,34393.61,0.1065,16217.1,0.781,0.293,0.81,0.4729,0,8539.68,180000.0,0,0,0.1613,0
36188.17,21871.77,3000.0,11316.4,0.0829,13469.46,0.79,0.217,0.761,0.3956,0,3100.84,36000.0,0,0,0.5411,1
18606.08,11525.88,3000.0,4080.2,0.1612,15536.18,0.704,0.2,0.914,0.3805,0,5810.47,36000.0,0,0,0.699,1
25499.63,17751.93,4500.0,3247.7,0.1765,9883.79,0.751,0.198,0.784,0.3038,0,4391.8,54000.0,0,0,0.8778,0
15848.68,11455.73,6000.0,-1607.05,0.3786,4747.11,0.545,0.313,0.713,0.2772,2,6093.56,144000.0,0,0,0.9998,1
29044.59,24442.97,10000.0,-5398.38,0.3443,3228.47,0.516,0.365,0.621,0.1584,1,7782.79,240000.0,1,26,0.9998,1
88547.94,45078.55,0.0,43469.39,0.0,19656.27,0.941,0.131,0.926,0.4909,0,8931.39,0.0,0,0,0.0026,0
34138.05,23942.73,1500.0,8695.32,0.0439,8186.69,0.741,0.232,0.9,0.2986,0,3716.39,18000.0,0,0,0.4913,1
75246.65,38205.76,0.0,37040.89,0.0,29221.63,0.908,0.116,0.962,0.4923,0,8878.06,0.0,1,3,0.002,0
75788.43,39070.35,2500.0,34218.08,0.033,23318.56,0.964,0.09,0.972,0.4845,0,5789.77,37500.0,0,0,0.0037,0
105845.18,72104.77,3000.0,30740.41,0.0283,21577.95,0.847,0.171,0.83,0.3188,0,14045.91,54000.0,1,6,0.0271,0
50962.94,29379.28,5000.0,16583.66,0.0981,32036.72,0.94,0.147,0.922,0.4235,1,8339.6,75000.0,0,0,0.1014,0
36502.85,21260.96,0.0,15241.88,0.0,15942.92,0.812,0.179,0.872,0.4176,0,3238.22,0.0,0,0,0.1122,0
93462.1,62041.33,6000.0,25420.77,0.0642,22636.79,0.792,0.197,0.871,0.3362,0,10133.39,108000.0,0,0,0.0643,0
54524.56,23704.68,2500.0,28319.88,0.0459,39926.89,0.966,0.06,0.904,0.5652,0,6739.71,37500.0,0,0,0.0024,0
115428.96,65849.34,10000.0,39579.63,0.0866,37170.53,0.744,0.297,0.895,0.4295,0,12085.6,180000.0,0,0,0.0158,0
74948.33,50021.13,3000.0,21927.2,0.04,29194.12,0.779,0.254,0.877,0.3326,0,7913.8,54000.0,0,0,0.0637,0
42111.26,30498.7,3000.0,8612.56,0.0712,12718.33,0.858,0.2,0.794,0.2758,0,5012.2,36000.0,0,0,0.4641,1
60010.49,29529.46,5000.0,25481.03,0.0833,20254.71,0.944,0.088,0.978,0.5079,0,7112.74,75000.0,0,0,0.0169,0
79453.48,53366.38,3000.0,23087.09,0.0378,28373.48,0.832,0.263,0.921,0.3283,0,14665.29,54000.0,1,9,0.0435,0
101484.51,53027.29,10000.0,38457.22,0.0985,21908.19,0.758,0.164,0.836,0.4775,0,10218.91,180000.0,0,0,0.0318,0
46194.76,25344.23,0.0,20850.53,0.0,19321.97,0.972,0.135,0.947,0.4514,0,9461.51,0.0,0,0,0.0177,0
43874.44,24435.17,1500.0,17939.27,0.0342,9402.67,0.899,0.228,0.839,0.4431,0,5494.12,18000.0,0,0,0.2144,0
65977.33,37333.76,5000.0,23643.57,0.0758,36419.31,0.946,0.102,0.923,0.4341,0,7172.98,75000.0,0,0,0.0083,0
59938.27,31252.89,2500.0,26185.38,0.0417,39528.75,0.947,0.12,0.904,0.4786,0,5521.12,37500.0,0,0,0.0046,0
68363.51,35557.93,2500.0,30305.58,0.0366,31433.39,0.941,0.113,0.887,0.4799,0,6809.27,37500.0,0,0,0.0058,0
